ID,p_value_acute_sensitive_devo_sensitive,p_value_acute_tolerant_devo_tolerant,p_value_control_sensitive_acute_sensitive,p_value_control_sensitive_devo_sensitive,p_value_control_tolerant_acute_tolerant,p_value_control_tolerant_control_sensitive,p_value_control_tolerant_developmental_tolerant,p_value_control_tolerant_trans_tolerant,p_value_trans_sensitive_acute_sensitive,p_value_trans_sensitive_devo_sensitive,p_value_trans_tolerant_acute_tolerant,p_value_trans_tolerant_devo_tolerant
GO:0005086,1,0.619622088970148,0.331245752467709,0.0463745592421929,0.409560806062511,1,0.942139580178776,1,0.976206813976444,0.127277855252751,0.0429624964770629,0.0198408362180467
GO:0032012,1,0.619622088970148,0.331245752467709,0.0463745592421929,0.409560806062511,1,0.942139580178776,1,0.976206813976444,0.127277855252751,0.0429624964770629,0.0198408362180467
GO:0000398,1,0.416877993929446,1,0.782521979875584,0.00127828357916484,0.0136394846871795,0.00490203960188168,1,0.426896559168596,0.307237514493568,0.0002013689501554,0.0449838066384426
GO:0003743,1,0.665046313070953,1,1,0.999997796198151,0.0233438483194966,0.99954570946608,1,1,1,0.935848442113275,1
GO:0007416,1,1,0.000118641693331004,0.00515044400287383,0.142227574392665,1,0.633195466295238,1,0.000416782028006838,0.0173107655866878,0.0569788421217709,0.189125475082347
GO:0045202,1,1,0.00107461563681935,0.00488941652490983,0.145692319874131,1,0.461801999039136,1,0.00286618046973047,0.0628330958502215,0.052666035646614,0.0198408362180467
GO:0048786,1,1,0.00277511541255429,0.00927611936347135,0.00306055112114368,1,0.633195466295238,1,0.0085026434774774,0.0104240774522624,0.00215230538357272,0.136304339030386
GO:0005388,1,1,0.00918475425855116,0.119252156785314,0.0105654769548837,1,0.232010276629093,1,0.0019733845899062,0.185142670430045,0.00407778947486562,0.298313700951729
GO:0043547,1,1,0.350214357855603,0.0140329382847707,0.0090680695922016,1,0.718667852074233,1,0.0658079488143384,0.149291059083864,0.00715869506934529,0.41200304727897
GO:0007269,1,1,0.512251737272165,1,0.0619892467352414,1,0.508643050430057,1,0.257446339395259,0.908677670973679,0.00467576168599688,0.0376857781797897
GO:0006396,1,1,0.812413911423802,0.999810932751956,0.173641050943687,0.00192647105638603,0.0559254205956024,0.464339154458305,0.996347996200691,0.999980723844095,0.999997775593232,0.999976806097886
GO:0008021,1,1,0.812413911423802,0.908022643291949,0.265699442138787,1,0.677603280902218,1,0.498431287305766,0.908633007693453,0.0429624964770629,0.0605289476484741
GO:0016817,1,1,0.373152980253986,0.46274537697186,0.831739433768857,1,0.84028359353126,1,0.453400681612676,0.0396612137112742,0.74736327292506,0.298313700951729
GO:0051539,1,1,0.448150996765748,0.54651406499021,0.0147432668106503,0.027410880423279,0.0128775015519279,1,0.169948219530085,0.648701770558866,0.190496273127176,0.410182084767584
GO:0005681,1,1,0.840390725810043,1,0.466638854983106,0.0260279161446164,0.670857512829519,1,1,1,0.636350148683674,0.713991351186872
GO:0006351,1,1,0.812689742554049,0.771833387490305,0.197963690307491,0.0480038290882335,0.0856607699194184,0.0743021837519587,0.907377670314668,0.904185454981672,0.376794913309299,0.93925535154421
GO:0004843,1,1,1,0.0463745592421929,0.999997796198151,1,0.942139580178776,1,1,0.127277855252751,0.999997775593232,0.16542866107055
GO:0045454,1,1,1,0.999810932751956,0.999997796198151,0.0158632727334664,0.99954570946608,1,1,0.999980723844095,0.999997775593232,0.999976806097886
GO:0009451,1,1,1,1,0.10073239595446,0.0246593096918463,0.0559254205956024,1,0.943519312496899,1,0.999997775593232,1
GO:0009982,1,1,1,1,0.173641050943687,0.0222256468938344,0.0559254205956024,1,0.938114640534488,1,0.999997775593232,1
GO:0001522,1,1,1,1,0.299190254629937,0.0260279161446164,0.0686951871660827,1,0.946379629351266,1,0.999997775593232,1
GO:0008033,1,1,1,1,0.313171965956467,0.0185524485444283,0.0980212512353282,1,1,1,0.999997775593232,0.999976806097886
GO:0006457,1,1,1,1,0.659077719196474,0.00192647105638603,0.474307082418996,1,1,1,0.999997775593232,0.999976806097886
GO:0004298,1,1,1,1,0.767727073823959,0.0185524485444283,0.99954570946608,1,0.99370147914837,1,0.999997775593232,1
GO:0005839,1,1,1,1,0.767727073823959,0.0185524485444283,0.99954570946608,1,0.99370147914837,1,0.999997775593232,1
GO:0051603,1,1,1,1,0.767727073823959,0.0185524485444283,0.99954570946608,1,0.99370147914837,1,0.999997775593232,1
GO:0005730,1,1,1,1,0.928329413840795,0.0185524485444283,0.99954570946608,1,1,1,0.999997775593232,1
GO:0006364,1,1,1,1,0.999997796198151,0.0260279161446164,0.942139580178776,1,1,1,1,1
GO:0008137,1,1,1,1,0.999997796198151,0.0185524485444283,0.942139580178776,1,1,1,0.999997775593232,0.999976806097886
